test_id,test_name,loinc,section_name,is_active
6,Albumin,,Biochemistry,Y
5,Amylase,,Biochemistry,Y
10,Beta HCG,,Biochemistry,Y
4,Creatinine,,Biochemistry,Y
160,Créatininémie,,Biochemistry,Y
3,Glucose,,Biochemistry,Y
159,Glycémie,,Biochemistry,Y
2,GOT/ASAT,,Biochemistry,Y
1,GPT/ALAT,,Biochemistry,Y
8,HDL cholesterol,,Biochemistry,Y
12,Proteinuria dipstick,,Biochemistry,Y
7,Total cholesterol,,Biochemistry,Y
161,Transaminases ALTL,,Biochemistry,Y
176,Transaminases ASTL,,Biochemistry,Y
9,Triglicerides,,Biochemistry,Y
11,Urine prenancy test,,Biochemistry,Y
183,Baso %,,Hematology,Y
26,Basophiles,,Hematology,Y
25,Basophiles (%),,Hematology,Y
186,CCMH,,Hematology,Y
19,CMCH,,Hematology,Y
182,Eo %,,Hematology,Y
24,Eosinophiles,,Hematology,Y
23,Eosinophiles (%),,Hematology,Y
177,GB,,Hematology,Y
187,GR,,Hematology,Y
188,Hb,,Hematology,Y
184,HCT,,Hematology,Y
16,Hematocrit,,Hematology,Y
15,Hemoglobin,,Hematology,Y
180,Lymph %,,Hematology,Y
27,Lymphocytes (%),736-9,Hematology,Y
28,Lymphocytes (Abs),731-0,Hematology,Y
17,Medium corpuscular volum,,Hematology,Y
181,Mono %,,Hematology,Y
29,Monocytes (%),5905-5,Hematology,Y
30,Monocytes (Abs),742-7,Hematology,Y
179,Neut %,,Hematology,Y
22,Neutrophiles,,Hematology,Y
21,Neutrophiles (%),,Hematology,Y
20,Platelets,,Hematology,Y
178,PLQ,,Hematology,Y
14,Red Blood Cells Count (RBC),,Hematology,Y
185,TCMH,,Hematology,Y
18,TMCH,,Hematology,Y
189,VGM,,Hematology,Y
13,White Blood Cells Count (WBC),,Hematology,Y
373,Actin Smooth Muscle,,Immunohistochemistry,Y
323,AMACR (p504 s),,Immunohistochemistry,Y
329,Anti-CD10,,Immunohistochemistry,Y
330,Anti-CD15,,Immunohistochemistry,Y
331,Anti-CD20,,Immunohistochemistry,Y
332,Anti-CD22,,Immunohistochemistry,Y
333,Anti-CD 3,,Immunohistochemistry,Y
334,Anti-CD30,,Immunohistochemistry,Y
335,Anti-CD34,,Immunohistochemistry,Y
336,Anti-CD45,,Immunohistochemistry,Y
337,Anti-CD 5,,Immunohistochemistry,Y
338,Anti-CD56,,Immunohistochemistry,Y
339,Anti-CD7,,Immunohistochemistry,Y
340,Anti-CD79a,,Immunohistochemistry,Y
341,Anti-CD99 (O13),,Immunohistochemistry,Y
342,Anti-CDX-2 (EPR2764Y),,Immunohistochemistry,Y
343,Anti-Chromogranin A,,Immunohistochemistry,Y
347,Anti-Cyclin D1 (SP4-R),,Immunohistochemistry,Y
344,Anti-Cytokeratin 20,,Immunohistochemistry,Y
345,Anti-Cytokeratin 5/6,,Immunohistochemistry,Y
346,Anti-Cytokeratin 7,,Immunohistochemistry,Y
348,Anti-Desmin,,Immunohistochemistry,Y
350,Anti-E-Cadherin,,Immunohistochemistry,Y
351,Anti-EMA (E29),,Immunohistochemistry,Y
352,Anti-ER,,Immunohistochemistry,Y
353,Anti-Gata 3,,Immunohistochemistry,Y
355,Anti-hepatocyte Specific Antigen (Hep Par-1),,Immunohistochemistry,Y
357,Anti-HER2,,Immunohistochemistry,Y
360,Anti-Ki67,,Immunohistochemistry,Y
358,Anti-melanosome (HMB45),,Immunohistochemistry,Y
361,Anti-MUC2,,Immunohistochemistry,Y
362,Anti-MUM1,,Immunohistochemistry,Y
366,Anti-p40 (BC28),,Immunohistochemistry,Y
368,Anti-p63 (4A4),,Immunohistochemistry,Y
322,Anti-Pan Keratin,,Immunohistochemistry,Y
371,Anti-PR,,Immunohistochemistry,Y
372,Anti-S100,,Immunohistochemistry,Y
374,Anti-Synaptophysin (SP11),,Immunohistochemistry,Y
375,Anti-Thyroid Transcription Factor,,Immunohistochemistry,Y
378,Anti-Vimentin,,Immunohistochemistry,Y
324,BCL 2,,Immunohistochemistry,Y
325,BCL 6,,Immunohistochemistry,Y
326,BerEp4,,Immunohistochemistry,Y
327,Calponin,,Immunohistochemistry,Y
328,Calretinin,,Immunohistochemistry,Y
365,CINtec® p16 Histology,,Immunohistochemistry,Y
349,DOG1 (SP31),,Immunohistochemistry,Y
354,Glial Fibrillary Acidic Protein,,Immunohistochemistry,Y
356,Her2 Dual ISH,,Immunohistochemistry,Y
359,Inhibin,,Immunohistochemistry,Y
363,Myogenin (F5D),,Immunohistochemistry,Y
364,Napsin A (MRQ-60),,Immunohistochemistry,Y
367,P 53,,Immunohistochemistry,Y
369,Pax 5,,Immunohistochemistry,Y
370,Pax 8,,Immunohistochemistry,Y
376,Thyroglobulin (2H11+6E1),,Immunohistochemistry,Y
377,Wilms' tumor 1 protein (WT1),,Immunohistochemistry,Y
190,CD3 percentage count,,Immunology,Y
172,CD4,,Immunology,Y
192,CD4 absolute count,,Immunology,Y
34,CD4 Absolute count (mm3),,Immunology,Y
35,CD4 percent  (%),,Immunology,Y
191,CD4 percentage count,,Immunology,Y
38,ARV resistance,,Molecular Biology,Y
306,COVID-19 ANTIBODY IgG,94547-7,Molecular Biology,Y
305,COVID-19 ANTIBODY IgG,94547-7,Molecular Biology,Y
304,COVID-19 ANTIBODY IgM,94547-7,Molecular Biology,Y
303,COVID-19 ANTIBODY IgM,94547-7,Molecular Biology,Y
300,COVID-19 PCR,94500-6,Molecular Biology,Y
302,COVID-19 PCR,94500-6,Molecular Biology,Y
301,COVID-19 PCR,94500-6,Molecular Biology,Y
307,DENGUE PCR,7855-0,Molecular Biology,Y
309,DENGUE PCR,7855-0,Molecular Biology,Y
308,DENGUE PCR,7855-0,Molecular Biology,Y
319,HEPATITIS B VIRAL LOAD,29615-2,Molecular Biology,Y
318,HEPATITIS B VIRAL LOAD,29615-2,Molecular Biology,Y
317,HEPATITIS C VIRAL LOAD,11011-4,Molecular Biology,Y
316,HEPATITIS C VIRAL LOAD,11011-4,Molecular Biology,Y
310,HIV INFANT VIRAL LOAD,"",Molecular Biology,Y
312,HIV INFANT VIRAL LOAD,"",Molecular Biology,Y
311,HIV INFANT VIRAL LOAD,"",Molecular Biology,Y
314,HIV VIRAL LOAD,10351-5,Molecular Biology,Y
315,HIV VIRAL LOAD,10351-5,Molecular Biology,Y
313,HIV VIRAL LOAD,10351-5,Molecular Biology,Y
37,Viral load,,Molecular Biology,Y
321,Histopathology examination,,Pathology,Y
199,Innolia,,Serology,Y
170,Integral,,Serology,Y
