panel_id,panel_name,test_id,test_name
1,Bilan Biochimique,2,GOT/ASAT
1,Bilan Biochimique,3,Glucose
1,Bilan Biochimique,4,Creatinine
1,Bilan Biochimique,5,Amylase
1,Bilan Biochimique,6,Albumin
1,Bilan Biochimique,7,Total cholesterol
1,Bilan Biochimique,1,GPT/ALAT
1,Bilan Biochimique,8,HDL cholesterol
1,Bilan Biochimique,9,Triglicerides
2,NFS,22,Neutrophiles
2,NFS,23,Eosinophiles (%)
2,NFS,24,Eosinophiles
2,NFS,25,Basophiles (%)
2,NFS,26,Basophiles
2,NFS,27,Lymphocytes (%)
2,NFS,28,Lymphocytes (Abs)
2,NFS,29,Monocytes (%)
2,NFS,30,Monocytes (Abs)
2,NFS,19,CMCH
2,NFS,13,White Blood Cells Count (WBC)
2,NFS,14,Red Blood Cells Count (RBC)
2,NFS,15,Hemoglobin
2,NFS,16,Hematocrit
2,NFS,17,Medium corpuscular volum
2,NFS,18,TMCH
2,NFS,20,Platelets
2,NFS,21,Neutrophiles (%)
3,Typage lymphocytaire,34,CD4 Absolute count (mm3)
3,Typage lymphocytaire,35,CD4 percent  (%)
4,Serologie VIH,39,Western blot HIV
4,Serologie VIH,40,Western blot HIV
